Model,variable,Value
LogisticRegression,ROC,0.8541666666666666
LogisticRegression,ROC,0.875
LogisticRegression,ROC,0.8958333333333334
LogisticRegression,ROC,0.8723404255319149
LogisticRegression,ROC,0.8297872340425532
SGDClassifier,ROC,0.8541666666666666
SGDClassifier,ROC,0.875
SGDClassifier,ROC,0.875
SGDClassifier,ROC,0.8936170212765957
SGDClassifier,ROC,0.851063829787234
LinearDA,ROC,0.8541666666666666
LinearDA,ROC,0.8333333333333334
LinearDA,ROC,0.8125
LinearDA,ROC,0.8297872340425532
LinearDA,ROC,0.8297872340425532
SVC,ROC,0.8958333333333334
SVC,ROC,0.8541666666666666
SVC,ROC,0.8958333333333334
SVC,ROC,0.8936170212765957
SVC,ROC,0.851063829787234
NuSVC,ROC,0.875
NuSVC,ROC,0.8333333333333334
NuSVC,ROC,0.9166666666666666
NuSVC,ROC,0.8936170212765957
NuSVC,ROC,0.8297872340425532
DecisionTree,ROC,0.8541666666666666
DecisionTree,ROC,0.9166666666666666
DecisionTree,ROC,0.875
DecisionTree,ROC,0.9361702127659575
DecisionTree,ROC,0.851063829787234
AdaBoost,ROC,0.8333333333333334
AdaBoost,ROC,0.8333333333333334
AdaBoost,ROC,0.9166666666666666
AdaBoost,ROC,0.9148936170212766
AdaBoost,ROC,0.8936170212765957
Bagging,ROC,0.9166666666666666
Bagging,ROC,0.875
Bagging,ROC,0.9375
Bagging,ROC,0.9361702127659575
Bagging,ROC,0.8936170212765957
GTBoost,ROC,0.9375
GTBoost,ROC,0.8958333333333334
GTBoost,ROC,0.9583333333333334
GTBoost,ROC,0.9361702127659575
GTBoost,ROC,0.851063829787234
RandomForest,ROC,0.9375
RandomForest,ROC,0.9166666666666666
RandomForest,ROC,0.9375
RandomForest,ROC,0.9361702127659575
RandomForest,ROC,0.8936170212765957
XGBoost,ROC,0.8958333333333334
XGBoost,ROC,0.8958333333333334
XGBoost,ROC,0.9375
XGBoost,ROC,0.9148936170212766
XGBoost,ROC,0.8297872340425532
KNeighbors,ROC,0.9375
KNeighbors,ROC,0.8541666666666666
KNeighbors,ROC,0.8958333333333334
KNeighbors,ROC,0.9361702127659575
KNeighbors,ROC,0.8723404255319149
BernoulliNB,ROC,0.875
BernoulliNB,ROC,0.875
BernoulliNB,ROC,0.875
BernoulliNB,ROC,0.8723404255319149
BernoulliNB,ROC,0.8297872340425532
GaussianNB,ROC,0.875
GaussianNB,ROC,0.8541666666666666
GaussianNB,ROC,0.875
GaussianNB,ROC,0.8723404255319149
GaussianNB,ROC,0.851063829787234
LogisticRegression,ACC,0.9444444444444444
LogisticRegression,ACC,0.9149305555555555
LogisticRegression,ACC,0.9305555555555556
LogisticRegression,ACC,0.9456521739130436
LogisticRegression,ACC,0.947463768115942
SGDClassifier,ACC,0.9444444444444444
SGDClassifier,ACC,0.9184027777777778
SGDClassifier,ACC,0.9409722222222222
SGDClassifier,ACC,0.9456521739130436
SGDClassifier,ACC,0.9547101449275363
LinearDA,ACC,0.9305555555555556
LinearDA,ACC,0.9166666666666666
LinearDA,ACC,0.9340277777777778
LinearDA,ACC,0.923913043478261
LinearDA,ACC,0.9528985507246377
SVC,ACC,0.9600694444444444
SVC,ACC,0.9357638888888888
SVC,ACC,0.9565972222222222
SVC,ACC,0.9239130434782609
SVC,ACC,0.9438405797101449
NuSVC,ACC,0.9583333333333334
NuSVC,ACC,0.9253472222222222
NuSVC,ACC,0.9496527777777778
NuSVC,ACC,0.9510869565217391
NuSVC,ACC,0.9257246376811594
DecisionTree,ACC,0.8541666666666665
DecisionTree,ACC,0.9166666666666665
DecisionTree,ACC,0.875
DecisionTree,ACC,0.9365942028985507
DecisionTree,ACC,0.8514492753623188
AdaBoost,ACC,0.9583333333333333
AdaBoost,ACC,0.9270833333333334
AdaBoost,ACC,0.9791666666666667
AdaBoost,ACC,0.9583333333333334
AdaBoost,ACC,0.9347826086956521
Bagging,ACC,0.9765625
Bagging,ACC,0.9348958333333334
Bagging,ACC,0.9921875
Bagging,ACC,0.943840579710145
Bagging,ACC,0.9311594202898551
GTBoost,ACC,0.9756944444444444
GTBoost,ACC,0.9427083333333334
GTBoost,ACC,0.9913194444444444
GTBoost,ACC,0.9311594202898552
GTBoost,ACC,0.9293478260869565
RandomForest,ACC,0.984375
RandomForest,ACC,0.9331597222222221
RandomForest,ACC,0.9878472222222222
RandomForest,ACC,0.9510869565217391
RandomForest,ACC,0.9447463768115942
XGBoost,ACC,0.9635416666666666
XGBoost,ACC,0.9184027777777778
XGBoost,ACC,0.9913194444444444
XGBoost,ACC,0.9239130434782609
XGBoost,ACC,0.9057971014492753
KNeighbors,ACC,0.9487847222222223
KNeighbors,ACC,0.9157986111111109
KNeighbors,ACC,0.9192708333333334
KNeighbors,ACC,0.927536231884058
KNeighbors,ACC,0.9329710144927537
BernoulliNB,ACC,0.9444444444444444
BernoulliNB,ACC,0.9097222222222222
BernoulliNB,ACC,0.9201388888888888
BernoulliNB,ACC,0.927536231884058
BernoulliNB,ACC,0.9420289855072465
GaussianNB,ACC,0.9184027777777777
GaussianNB,ACC,0.8810763888888888
GaussianNB,ACC,0.9401041666666667
GaussianNB,ACC,0.9248188405797102
GaussianNB,ACC,0.943840579710145
