Label,variable,value
Umami_SCM,Accuracy,0.7378640776699029
Bitter_SCM,Accuracy,0.6407766990291263
Umami_YYDS,Accuracy,0.7354368932038835
Bitter_BERT,Accuracy,0.6990291262135923
Umami_SCM,Precision,0.8040540540540541
Bitter_SCM,Precision,0.7232142857142857
Umami_YYDS,Precision,0.7069767441860465
Bitter_BERT,Precision,0.7983870967741935
Umami_SCM,Recall,0.601010101010101
Bitter_SCM,Recall,0.4090909090909091
Umami_YYDS,Recall,0.7676767676767676
Bitter_BERT,Recall,0.5
Umami_SCM,F1,0.6878612716763005
Bitter_SCM,F1,0.5225806451612903
Umami_YYDS,F1,0.7360774818401937
Bitter_BERT,F1,0.6149068322981366
Umami_SCM,Matthews Corrcoef,0.4847554393569367
Bitter_SCM,Matthews Corrcoef,0.29672474773669905
Umami_YYDS,Matthews Corrcoef,0.47337921568493696
Bitter_BERT,Matthews Corrcoef,0.4173808069572435
