PepName,Really_Taste,Umami_SCM,Bitter_SCM,Bitter_BERT,Umami_YYDS,Q_Value,Q,Len,Taste_num
RFPHADF,Bitter,0,0,1,1,1478.4497142857142,0,7,0
ASEFFR,Bitter,0,0,0,1,1208.4358333333332,0,6,0
YGLF,Bitter,0,0,0,0,1972.1195,0,4,0
IPAVF,Bitter,0,1,1,0,2127.6434,0,5,0
YPFPGPIPN,Bitter,0,0,0,0,2124.617333333333,0,9,0
AAPY,Bitter,1,1,1,1,1745.1645,0,4,0
ESLA,Bitter,0,1,1,1,935.2935,1,4,0
EDQK,Bitter,1,1,1,1,621.73725,1,4,0
GGGE,Bitter,0,0,0,1,137.3675,1,4,0
GGPG,Bitter,0,0,0,0,662.35025,1,4,0
IQEL,Bitter,1,0,1,0,1459.08175,0,4,0
LEQL,Bitter,1,0,0,1,1321.71425,0,4,0
QEEK,Bitter,1,0,1,1,624.12625,1,4,0
NRTF,Bitter,1,1,1,1,963.9615,1,4,0
VEAL,Bitter,1,0,0,1,1347.396,0,4,0
RRPPFF,Bitter,0,0,0,1,1993.222333333333,0,6,0
RGPPFIV,Bitter,0,0,0,0,1898.2311428571427,0,7,0
RPPPFFF,Bitter,0,0,0,0,2353.847571428571,0,7,0
RRPPPFFF,Bitter,0,0,0,1,2150.995875,0,8,0
VYPFPPGINH,Bitter,0,0,0,0,1866.0479,0,10,0
RPGFF,Bitter,0,0,0,1,1715.7797999999998,0,5,0
RPGGFF,Bitter,0,0,0,1,1429.8165,0,6,0
FFRPFFRPFF,Bitter,0,0,0,0,2235.6262,0,10,0
RPFG,Bitter,0,0,0,1,1494.91675,0,4,0
GPFF,Bitter,0,0,0,0,1961.96625,0,4,0
RGFF,Bitter,0,0,0,1,1482.3745,0,4,0
RPGF,Bitter,0,0,0,0,1494.91675,0,4,0
FFPR,Bitter,0,0,0,0,2144.72475,0,4,0
GGGLG,Bitter,0,0,0,1,484.0114,1,5,0
GGLGG,Bitter,0,0,0,1,484.0114,1,5,0
LGGGG,Bitter,0,0,0,0,484.0114,1,5,0
GLGGG,Bitter,0,0,0,1,484.0114,1,5,0
GGGGL,Bitter,0,0,0,0,484.0114,1,5,0
GGLG,Bitter,0,0,0,1,605.01425,1,4,0
GLGG,Bitter,0,0,0,1,605.01425,1,4,0
LGGG,Bitter,0,0,0,0,605.01425,1,4,0
GGGL,Bitter,0,0,0,0,605.01425,1,4,0
LLLL,Bitter,0,0,0,0,2420.0570000000002,0,4,0
RRPFF,Bitter,0,0,0,1,1861.9866,0,5,0
FFPP,Bitter,0,0,0,0,2624.3165,0,4,0
GPPF,Bitter,0,0,0,1,1974.5085,0,4,0
VYPFPPIGNH,Bitter,0,0,0,0,1866.0479,0,10,0
VYPF,Bitter,0,0,0,0,2451.71125,0,4,0
RPFF,Bitter,0,0,0,0,2144.72475,0,4,0
RGPGPIIV,Bitter,0,0,0,0,1707.2391249999996,0,8,0
RPFFRPFF,Bitter,0,0,0,0,2144.72475,0,8,0
PVRGPFPIIV,Bitter,0,0,0,0,2059.5569000000005,0,10,0
FGFG,Bitter,0,0,0,1,1299.616,0,4,0
FGGF,Bitter,0,0,0,0,1299.616,0,4,0
PVLGPV,Bitter,0,0,0,0,1849.4841666666666,0,6,0
PFPIIV,Bitter,0,0,0,0,2587.6851666666666,0,6,0
VIIPFPG,Bitter,0,0,0,0,2218.015857142857,0,7,0
RGPFPIV,Bitter,0,0,0,0,1898.2311428571427,0,7,0
VIPFPGR,Bitter,0,0,0,0,1898.231142857143,0,7,0
VIIPFPGR,Bitter,0,0,0,0,2032.143125,0,8,0
RGPPGF,Bitter,0,0,0,0,1438.178,0,6,0
