Label,Len,variable,value
Umami_SCM,4,Accuracy,0.810810811
Bitter_SCM,4,Accuracy,0.837837838
Bitter_BERT,4,Accuracy,0.810810811
Umami_YYDS,4,Accuracy,0.567567568
Q-Value,4,Accuracy,0.648648649
Umami_SCM,4,Precision,0.3
Bitter_SCM,4,Precision,0.2
Bitter_BERT,4,Precision,0.25
Umami_YYDS,4,Precision,0.157894737
Q-Value,4,Precision,0
Umami_SCM,4,Recall,1
Bitter_SCM,4,Recall,0.333333333
Bitter_BERT,4,Recall,0.666666667
Umami_YYDS,4,Recall,1
Q-Value,4,Recall,0
Umami_SCM,4,F1,0.461538462
Bitter_SCM,4,F1,0.25
Bitter_BERT,4,F1,0.363636364
Umami_YYDS,4,F1,0.272727273
Q-Value,4,F1,0
Umami_SCM,4,MCC,0.48809353
Bitter_SCM,4,MCC,0.17221168
Bitter_BERT,4,MCC,0.325031855
Umami_YYDS,4,MCC,0.289121655
Q-Value,4,MCC,-0.180775382
Umami_SCM,5,Accuracy,0.892857143
Bitter_SCM,5,Accuracy,0.678571429
Bitter_BERT,5,Accuracy,0.75
Umami_YYDS,5,Accuracy,0.678571429
Q-Value,5,Accuracy,0.678571429
Umami_SCM,5,Precision,1
Bitter_SCM,5,Precision,0.888888889
Bitter_BERT,5,Precision,0.909090909
Umami_YYDS,5,Precision,0.666666667
Q-Value,5,Precision,0.684210526
Umami_SCM,5,Recall,0.8125
Bitter_SCM,5,Recall,0.5
Bitter_BERT,5,Recall,0.625
Umami_YYDS,5,Recall,0.875
Q-Value,5,Recall,0.8125
Umami_SCM,5,F1,0.896551724
Bitter_SCM,5,F1,0.64
Bitter_BERT,5,F1,0.740740741
Umami_YYDS,5,F1,0.756756757
Q-Value,5,F1,0.742857143
Umami_SCM,5,MCC,0.806225775
Bitter_SCM,5,MCC,0.441510786
Bitter_BERT,5,MCC,0.54886043
Umami_YYDS,5,MCC,0.333333333
Q-Value,5,MCC,0.331133089
Umami_SCM,6,Accuracy,0.739130435
Bitter_SCM,6,Accuracy,0.652173913
Bitter_BERT,6,Accuracy,0.760869565
Umami_YYDS,6,Accuracy,0.804347826
Q-Value,6,Accuracy,0.739130435
Umami_SCM,6,Precision,1
Bitter_SCM,6,Precision,1
Bitter_BERT,6,Precision,1
Umami_YYDS,6,Precision,0.806451613
Q-Value,6,Precision,0.944444444
Umami_SCM,6,Recall,0.571428571
Bitter_SCM,6,Recall,0.428571429
Bitter_BERT,6,Recall,0.607142857
Umami_YYDS,6,Recall,0.892857143
Q-Value,6,Recall,0.607142857
Umami_SCM,6,F1,0.727272727
Bitter_SCM,6,F1,0.6
Bitter_BERT,6,F1,0.755555556
Umami_YYDS,6,F1,0.847457627
Q-Value,6,F1,0.739130435
Umami_SCM,6,MCC,0.585540044
Bitter_SCM,6,MCC,0.476330512
Bitter_BERT,6,MCC,0.613878889
Umami_YYDS,6,MCC,0.582515336
Q-Value,6,MCC,0.551587302
Umami_SCM,7,Accuracy,0.72972973
Bitter_SCM,7,Accuracy,0.702702703
Bitter_BERT,7,Accuracy,0.756756757
Umami_YYDS,7,Accuracy,0.756756757
Q-Value,7,Accuracy,0.702702703
Umami_SCM,7,Precision,1
Bitter_SCM,7,Precision,1
Bitter_BERT,7,Precision,0.9375
Umami_YYDS,7,Precision,0.85
Q-Value,7,Precision,0.928571429
Umami_SCM,7,Recall,0.565217391
Bitter_SCM,7,Recall,0.52173913
Bitter_BERT,7,Recall,0.652173913
Umami_YYDS,7,Recall,0.739130435
Q-Value,7,Recall,0.565217391
Umami_SCM,7,F1,0.722222222
Bitter_SCM,7,F1,0.685714286
Bitter_BERT,7,F1,0.769230769
Umami_YYDS,7,F1,0.790697674
Q-Value,7,F1,0.702702703
Umami_SCM,7,MCC,0.574203923
Bitter_SCM,7,MCC,0.54053114
Bitter_BERT,7,MCC,0.568517754
Umami_YYDS,7,MCC,0.51076286
Q-Value,7,MCC,0.49378882
Umami_SCM,8,Accuracy,0.833333333
Bitter_SCM,8,Accuracy,0.766666667
Bitter_BERT,8,Accuracy,0.8
Umami_YYDS,8,Accuracy,0.8
Q-Value,8,Accuracy,0.666666667
Umami_SCM,8,Precision,1
Bitter_SCM,8,Precision,1
Bitter_BERT,8,Precision,1
Umami_YYDS,8,Precision,0.85
Q-Value,8,Precision,0.916666667
Umami_SCM,8,Recall,0.75
Bitter_SCM,8,Recall,0.65
Bitter_BERT,8,Recall,0.7
Umami_YYDS,8,Recall,0.85
Q-Value,8,Recall,0.55
Umami_SCM,8,F1,0.857142857
Bitter_SCM,8,F1,0.787878788
Bitter_BERT,8,F1,0.823529412
Umami_YYDS,8,F1,0.85
Q-Value,8,F1,0.6875
Umami_SCM,8,MCC,0.707106781
Bitter_SCM,8,MCC,0.618346942
Bitter_BERT,8,MCC,0.661437828
Umami_YYDS,8,MCC,0.55
Q-Value,8,MCC,0.433012702
Umami_SCM,9,Accuracy,0.4375
Bitter_SCM,9,Accuracy,0.5
Bitter_BERT,9,Accuracy,0.6875
Umami_YYDS,9,Accuracy,0.8125
Q-Value,9,Accuracy,0.6875
Umami_SCM,9,Precision,1
Bitter_SCM,9,Precision,1
Bitter_BERT,9,Precision,1
Umami_YYDS,9,Precision,0.909090909
Q-Value,9,Precision,1
Umami_SCM,9,Recall,0.25
Bitter_SCM,9,Recall,0.333333333
Bitter_BERT,9,Recall,0.583333333
Umami_YYDS,9,Recall,0.833333333
Q-Value,9,Recall,0.583333333
Umami_SCM,9,F1,0.4
Bitter_SCM,9,F1,0.5
Bitter_BERT,9,F1,0.736842105
Umami_YYDS,9,F1,0.869565217
Q-Value,9,F1,0.736842105
Umami_SCM,9,MCC,0.277350098
Bitter_SCM,9,MCC,0.333333333
Bitter_BERT,9,MCC,0.509175077
Umami_YYDS,9,MCC,0.544949261
Q-Value,9,MCC,0.509175077
Umami_SCM,10,Accuracy,0.6
Bitter_SCM,10,Accuracy,0.466666667
Bitter_BERT,10,Accuracy,0.8
Umami_YYDS,10,Accuracy,0.8
Q-Value,10,Accuracy,0.666666667
Umami_SCM,10,Precision,1
Bitter_SCM,10,Precision,1
Bitter_BERT,10,Precision,1
Umami_YYDS,10,Precision,1
Q-Value,10,Precision,1
Umami_SCM,10,Recall,0.454545455
Bitter_SCM,10,Recall,0.272727273
Bitter_BERT,10,Recall,0.727272727
Umami_YYDS,10,Recall,0.727272727
Q-Value,10,Recall,0.545454545
Umami_SCM,10,F1,0.625
Bitter_SCM,10,F1,0.428571429
Bitter_BERT,10,F1,0.842105263
Umami_YYDS,10,F1,0.842105263
Q-Value,10,F1,0.705882353
Umami_SCM,10,MCC,0.426401433
Bitter_SCM,10,MCC,0.301511345
Bitter_BERT,10,MCC,0.644658371
Umami_YYDS,10,MCC,0.644658371
Q-Value,10,MCC,0.492365964
